我在 2011 年成为《法律与秩序》剧迷。 我当时正从中风中康复。 回家后，我尽量每一集都会追。 在 20 年内连续刷同一部剧是件难事。
大家都喜欢鲍勃，因为他在电影内扮演着一个备受青睐的角色。 鲍勃讨厌它，因为他一点也不像那个角色。 吉姆叫鲍勃说出他的角色的口头禅。 对鲍勃来说，这简直是强人所难，于是他勃然大怒。
丽塔想看她最喜欢的电视节目。 她的孩子坚持要她坐下来和他们一起看。 丽塔告诉他们，她还有家务要做。 她的孩子将洗衣篮拖到客厅里。
丽芙被一声巨响吓了一跳。 她发现厨房里的灯泡烧了。 她拿出一只脚凳，踩在上面。 脚凳摇摇晃晃的，导致她差一点跌倒。
母亲叫孩子 15 分钟后来吃午饭。 但她之后接到了一通很重要的电话。 她在聊天时，狗把泥巴弄得厨房满地都是。 孩子开始缠着还在通电话的母亲。
赫克托总是在上班前到当地的一家店买咖啡。 他意识到自己买咖啡的习惯很费钱。 有一天，赫克托决定在家里冲煮咖啡。 他在家里冲煮的咖啡尝起来很美味，这让他感到很自豪。
凯莉发现学校来了个新女同学。 她走进学校后，马上去找她。 她找到了她，并邀请她跟她一起坐下来吃午饭。 吃午饭时，这两位女孩成了朋友。
第一次跑 5 公里的汤米在赛前刻苦训练。 比赛时他感到很气馁，因为有很多人越过他。 颁奖典礼上，他听到了有人叫他的名字，他感到很震撼。 他没想到他们竟然按年龄分组颁奖。
劳里今晚会去参加她的第一次正式舞会。 她的舞伴去接他，并送了她一朵漂亮的玫瑰花。 劳里穿着一件闪闪发亮的长裙。 他们和朋友载歌载舞，玩得不亦乐乎。
尼尔在探索历史悠久的铁路。 他骑进宾夕法尼亚州斯克兰顿。 他发现到那是一个风景旖旎的旧火车站。 他在那儿拍了很多张照片。
第一天在鱼快餐店工作的鲍勃，斗胆尝试了新花样。 他打算穿上花俏的航海制服。 鲍勃穿上制服后，就开始制作鱼汉堡。 他太忙了，以致于忘了换回他的街服
一位朋友来探望我。 我告诉她，我的狗会咬人。 她不听。 她尝试摸它，跟它玩耍。
莱斯特希望自己变得更有艺术气息。 有一天，他决定尝试画一朵花。 他坐在一株美丽的兰花前，然后开始画画。 结果莱斯特画得很好。
巴勃罗喜欢吃虫子。 他在学校读过一本如何吃虫的书。 他用橄榄油油炸它们。 他每个月至少吃一次虫子。
吉良一向很喜欢日本文化。 她喜欢看日本电影。 她决定以后去那里旅行。 多年来，她一直在为这趟旅行攒钱。
格伦想出去散步。 他穿上外套出门。 走在人行道上时，他绊了一跤，把膝盖磨破了。 格伦站了起来，一瘸一拐地走回他的房子。
杰西花了一天的时间给家具抛光。 夜幕降临时，他审视着已完成的作品。 一切看起来都很新和闪闪发亮的。 那天晚上，杰西邀请所有朋友来开派对。
最近，我走路去一家商店。 经过一个出口时，我感到冰冷坚硬的钢铁划过我的手臂。 我感到很震惊，我被车撞了！ 司机看到我被撞后，连声向我道歉。
吉娜的姐姐的脚踝被碎玻璃划伤了。 血顺着她的脚流到鞋子里。 她看到血后马上飞跑回家里。 吉娜跟在她后面跑，但却跟不上。
一位小男孩在读三年级。 他很聪明，但朗读时很吃力。 每当他大声朗读时，同学都会嘲笑他。 他开始每天练习朗读。
罗茜的班级将举办一个小派对。 她决定为每个人制作水果沙拉。 她花了很多钱买水果，也花了很多时间来制备它。 在派对当天，她舀了一大碗水果沙拉。
凯莉很高兴买了一部新手机。 她随身携带它。 不幸的是，她把电话摔碎了。 谢天谢地，她能够把它拿去修理。
我在上大学时遇到一位比我年长的人。 当时我 22 岁，他 38 岁。 我们很有默契，一起度过了愉快的时光。 我们当时出入相随，形影不离。
鲍勃想参加学校的戏剧演出。 他认真研究自己的角色。 他时时排练台词。 试镜当天，他的表现很好。
洁琪被委任八年级班长。 全班同学都很羡慕她。 她的同学经常陷她于不义。 他们会偷走洁琪的班长证。
我爸爸刚买了一辆新车。 为了庆祝，我们出门去兜风。 一辆车闯过停车标志，撞向我们。 我用力敲窗户，直到把它打破。
我侄女很喜欢《冰雪奇缘》这部电影。 她经常播放这部电影。 她在屋里边转悠边唱歌。 她喜欢尽情大喊。
亚历克斯在球场上运球，他的球队落后两分。 他瞥了一眼记分板，看到只剩下 5 秒了。 他的脑子飞快地转着，试图找到无人防守的队友。 奈何防守员紧跟着他的队友。
我走进图书馆，坐了下来。 我四顾张望，注意到一位小孩。 他盯着我看了一阵子。 我感到很懊恼，于是从座位站起来。
伊娃和布兰特想要生个孩子。 他们已经试了六个月，但不成功。 他们在看医生时表露出沮丧之情。 但随后他们看到医生露出大大的笑容。
凯瑟琳一直对冰壶运动很感兴趣。 凯瑟琳喜欢看电视里的运动员进行这项运动。 有一天，凯瑟琳决定参加一次冰壶训练。 训练时，有一名运动员邀请凯瑟琳参加比赛。
弗朗西斯一直想学习如何驾驶。 终于，他到了可以考驾照的年龄。 为了拿到驾照，弗朗西斯非常努力地学习。 他很轻松地通过了驾照考试。
昨天我看了《胡桃夹子》，非常开心。 我简直是爱死它了。 舞蹈演员登上舞台时，太美了。 能够观看这台演出，我感到很荣幸。
我早上 8:30 起床上课。 我睡眼惺忪地下了床，冲了个澡。 我很迅速地吃好早饭，然后开始走路去教室。 上了 50 分钟的课后，我又走回宿舍。
盖里想要吸引丽萨的注意。 有一天，他决定给丽萨写一首诗。 第二天到了学校，盖里在走廊看到丽萨。 盖里冲丽萨笑了笑，带给她那首诗。
卡洛斯一直想去法国。 他决定要在去之前学会说法语。 他报名了夜校，非常刻苦地学习。 终于，卡洛斯能够说一口流利的法语了。
拉尔斯一直想尝试摄影。 他的朋友是一位出色的摄影师，但是他从来没有尝试过。 有一天他买了一个简单但又高像素的照相机。 从那天开始，拉尔斯每天都拍一些有关大自然的照片。
我从一家电器商店买了台电视。 它配有高清晰度的大显示器。 工作人员说服我买了保险，以防万一。 一周后，电视从墙上掉了下来，摔坏了。
莱恩在公园里。 他看到一个小女孩拿着一个气球。 当他离开公园时，他看到那只气球卡在树上。 他爬上去，把气球取了下来。
珍的经理让她上传她的简历。 她意识到她的简历格式不太对。 她把所有内容转移到正确的模板中。 把最近工作的信息加上去之后，她更新了简历。
尼尔当时正在菲斯旅游。 他品尝了那里的民族菜肴。 然后他去买了纪念品。 他注意到，菲斯也有很多街头艺人。
我当时要去遛狗。 我的小区要求必须牵绳。 我在屋子里到处找那条绳子。 我没有找到。
天气晴朗、暖和。 乔想出去散散步。 他决定步行去当地的咖啡店。 但是半路上，他开始觉得累。
珍一整天都在等一个包裹。 终于她看到联合包裹的快递员向她的门走来。 他把包裹送到了，她把它拿进去。 她用刀子打开包裹。
弗兰克不想做作业。 他想玩电子游戏。 弗兰克的服务让他先把作业做完。 弗兰克大发脾气，受到了惩罚。
蒂米正在学校参加 3 分球大赛。 冠军将有机会赢得 1000 美元的大学奖学金。 蒂米整个周末都在练习如何打 3 分球。 比赛那一天到来时，他做好了准备。
德雷克周五参加了一场派对。 他发现大衣里的钱包被偷了。 德雷克立即报了警，但是钱包没有找到。 德雷克找到派对的主人，质问这件事情。
鲍勃发现他的卡车爆胎了。 他以前从来没有换过轮胎。 他拿出了千斤顶和金属工具。 他拆不下来螺栓。
杰克厌倦了用平板电脑写邮件。 他决定买一台笔记本电脑。 他研究了不同的笔记本电脑，直到发现一台完美的。 最后他买了。
杰克的头发有点长了。 他马上有个面试。 他让他的妈妈给他理发。 他妈妈给他剪了个漂亮的、看起来很专业的发型。
肖恩今天来过了。 我、萨姆和肖恩玩了游戏。 因为我打的不好，他们生我气了。 他们说我不能再打了，除非我能打好。
莎拉想寄一张卡片。 她去了邮局。 她买了邮票。 她把信放到一个信封里。
恰克厌倦了工作。 他停业了一段时间。 他开了论坛，和同事聊天。 做了那么久难缠的占卜工作，他需要休息。
鲍勃购物时使用塑料袋。 然后，他朋友告诉他塑料对环境不好。 鲍勃决定放弃使用塑料袋。 鲍勃买了一些可重复使用的购物袋。
乔因为一个项目需要一张自己的肖像。 他打电话给当地的一些画家，询问费用。 其中一个画家的收费比较合理。 乔与那位画家约好了画肖像的时间。
安试图戒烟。 她尝试了好几次，但都失败了。 然后她贴了尼古丁贴片来帮助自己。 帮助她，她做到了！
珍被送到姑妈家过暑假。 一想到整个夏天都不能去当地的图书馆，她就感到厌恶。 她随身带了几本书，但很快就会看完。 当她到达时，她的姑妈把她带到家里一个特别的房间里。
昨天是罗布洗牙的日子。 他通常都很害怕牙医。 但是办公室里有个可爱的新护士。 所以他很兴奋要去。
乔非常喜欢吃巧克力。 他一有机会就会做巧克力派。 他在吃巧克力派，突然觉得嘴里嚼到很硬的东西。 乔咬到了一个石头，牙齿掉了。
罗伯从未坐过过山车。 罗伯的朋友给了他一张六旗游乐园的免费门票。 罗伯决定还是去吧。 他们都去了，排了很长的队。
卡莉当时正等着山姆给她打电话。 他答应了周五打。 当时已经是周五晚间了，可她还是什么电话都没接到。 最终她决定给他打电话。
艾米在她生日那天从学校回到了空荡荡的家里。 她很失望因为所有人都忘记了她的生日。 她伤心地走进客厅。 突然间，她的亲朋好友全都从他们藏身之处跳了出来。
潘无缘无故地想打我。 虽然我很生气，但我仅仅自卫她的拳打。 她一直向我出拳。 为了让她停下来，我把她摔倒在了地上。
贝基有一个名叫阿什利的表妹。 贝基和阿什利打小就是好朋友。 阿什利长大后开始做一些蠢事。 她因从一元店偷卫生棉条而获刑入狱。
帕姆和汤姆的宝宝睡得很轻。 他们自私自利的邻居总是放任他的狗在外面狂吠一整天。 每当帕姆把她的宝宝哄睡之后，那只狗就开始狂吠。 帕姆幻想着解开那只狗的狗绳让它跑掉。
梅被弗雷多尼亚的一所大学录取了。 她坐公车到了她的新学校。 她探索了它的校区。 她喜欢她看到的一切。
玛丽需要去拔牙。 她希望她的牙医将她镇定入睡。 他所能做的仅仅是用诺沃卡因局部麻醉。 玛丽惊恐地盯着他。
福特为自己的高GPA感到自豪。 他每晚都在做作业以提升排名。 福特的朋友提醒他他错过了很多乐趣。 多年之后，福特成为了一名出色的律师。
我的妻子说我缺少激情。 因为我没有太多的兴趣爱好。 我试图辩解但无果。 我意识到她是对的。
妮娜想要一身好看的万圣节新装。 但她负担不起任何高级的东西。 她环顾了她的房子试图发现好点子。 然后她发现了一套免费的很棒的套装。
维罗妮卡喜欢在丛林中徒步。 有一天她在一条步道上发现了一座树屋。 她爬上了梯子，对房子里的所有陈设都感到惊讶。 它设施齐全，配有一个家具和多条毯子。
那是一个美好的三月上旬的春日。 特蕾西决定去她家后面的树林里散步。 她听到啄木鸟的声音，开始在树上寻找它。 她被一条树根绊倒，摔倒在路上。
鲍勃非常口渴他很想要一听苏打水。 不幸的是，他身无分文。 鲍勃走进加油站询问他是否可以拿一听苏打水。 收银员问他有没有钱。
吉姆当时正在机场等候。 他的妻子会在一个小时内到达。 他非常无聊。 他于是决定恶补一下他的书。
乔真的很想上哥伦比亚大学。 他在学校学习非常用功，还参加了足球队。 他被列入了候补名单。 虽然很失望，但他从始至终都很尽力。
吉娜的朋友塔米有一个文件夹，她不想让其他人也拥有它。 吉娜想要一个但她不知道在哪里能买到。 现在塔米有了一个新的丽莎弗兰克文件夹。 吉娜很嫉妒，因为她也想要一个。
利亚的房子里有一棵漂亮的圣诞树。 有一天，她离开家去了超市。 当她回来的时候，那棵树被撞倒了。 她的猫爬上了树并把树推到了！
彼得多年来一直使用同一把椅子。 它变得很破旧了。 他决定买一把新的、更舒适的椅子。 当它送到的时候彼得很开心。
雷克斯正在为今晚的派对做准备。 他意识到他还没有为客人准备任何可以搭配着奶酪吃的东西。 雷克斯跑出去买了一条法棍面包。 他把它切成薄而均匀的薄片以便于入口。
阿里每天都坐火车去上班。 有一天，她病得很重但仍然去工作了。 她一整天都努力工作，甚至把工作带回了家。 她上了火车就睡着了。
这支足球队在整个赛季都很努力。 他们赢下了每一场比赛，并打入了冠军赛。 比赛已经进入最后几秒的倒计时阶段了，两队仍然打成平手。 四分卫打了一个长传，接球手得分。
我们住在一栋高层建筑里。 有一天风刮得很猛烈，部分原因是因为建筑的高度。 大风猛烈地刮动树枝，因此我的妻子无法入眠。 大风把网线也刮断了。
凯特想为她的电脑买一个新键盘。 她攒了几个月的钱来买一个好的键盘。 凯特终于上网订购了她的键盘！ 她兴奋地等待了好几天等它到手。
乔恩从大学毕业了，他开始找工作。 他每一天都在申请他所属专业领域的工作。 在他开始申请三周之后，他接到了一个电话。 打电话的人问他是否有兴趣参加一个面试。
朱莉喜欢阅读她能找到的所有东西。 她的大部分时间都在图书馆度过。 她最喜欢的图书馆的工作人员是沃森小姐。 沃森小姐看出朱莉热爱书籍，于是为她提供了一份工作。
艾米一家当时要去六旗公园。 她耐心地坐在车里等着抵达那里。 抵达之后她跪坐着打量这个公园。 为了乘坐最大的过山车，她排了一个小时队。
史蒂夫当时急着去看足球赛。 在高速公路上，史蒂夫把他的车开得飞快。 高速公路巡警拦下了史蒂夫的车。 警官给史蒂夫开了一张超速罚单。
